code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
8006063900983,Fantasy dream,Polini,"beverages, alcoholic-beverages",italy,Unknown,Unknown,Unknown,not-applicable,Unknown,Unknown,Unknown,Unknown,Unknown
8058774180475,Spiedino fantasy,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3083681145595,Fantasia di verdure,Bonduelle,"plant-based-foods-and-beverages, plant-based-foods, fruits-and-vegetables-based-foods, vegetable-based-foods-and-beverages, canned-foods, vegetables-based-foods, canned-plant-based-foods, canned-vegetables, vegetables-prepared-processed-shelf-stable",italy,Unknown,Unknown,Unknown,a,4.0,Unknown,"Vegetables (carrots, peas, green beans, potatoes, flageolet beans), water, salt, natural flavouring, natural CELERY flavouring with others natural flavourings",Unknown,Unknown
9300675087018,No sugar fanta orange,Fanta,Unknown,australia,Unknown,"Coles,Woolworths,Drakes",Unknown,unknown,Unknown,Unknown,Unknown,0.0,1.0
2858367002377,Primosale fantasia,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0049000030761,Pineapple,Fanta,Unknown,united-states,card-box,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5070000358703,Double Chocolate Cereal,cryspy fantasy,Unknown,united-kingdom,Unknown,Unknown,Unknown,unknown,4.0,Unknown,"THE FUN PART Take our word for it - this is all good stuff. But if you're the trust-but-verify type, have a peek at what's inside. INGREDIENTS Corn Flour, Soy Protein, Organic Agave Syrup, Rapeseed Oil, Inulin (from chicory root), Unsweetened Cocoa Powder, Soy Lecithin, Natural Chocolate Flavour, Pea Starch, Pea Protein, Avocado Oil, Salt, Stevia. For allergens, see ingredients in bold. NUTRITIONAL INFORMATION Typical values Energy Fat of which cature per 100 g 403 kcal 1688 kJ 13.0 g per 30g serving 121 kcal 506 kJ 3.9 g",Unknown,Unknown
0687385000032,Fanta,Fanta,Unknown,united-states,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,Unknown,Unknown
5000112649901,fanta grape,Fanta,"beverages, carbonated-drinks, sodas",united-kingdom,Unknown,Unknown,Unknown,b,Unknown,Unknown,Unknown,Unknown,Unknown
9310155010931,beetroot crackers,Fantastic,Unknown,australia,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,2.4,315.6
9300675090544,Fanta Tropical,Unknown,Unknown,australia,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,47.0,200.0
8017376000406,Fantapiada,Unknown,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
93566216,Fanta,Fanta,Unknown,australia,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,0.0,2.3
